ANP - Agência Nacional do Petroleo, Gás Natural e Biocombustíveis;;;;Data: 29/03/2019;;;;;;;;;;;;;;
SIGEP Produção - Versão 9.19, build 38 (Oracle 11g);;;;;;;;;;;;;;;;;;
BMP - Produção de Petróleo, Gás Natural e Água (Poço) por Campo;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês)
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;
Alagoas;Alagoas;4-ALS-39-AL;4ALS 0039  AL       ;PARU;Petrobras;480000038409775;2014/04;0,0000;317,7717;317,7717;0,0000;222,4096;222,4096;6.672,28700;0,0000;Unidade de Produção Terrestre - Tartaruga;UEP;23
Bahia;Recôncavo;7-C-137-BA;7C   0137  BA       ;CANDEIAS;Petrobras;480000036389734;2014/04;19,7290;0,0000;19,7290;3,9270;0,0000;3,9270;48,23001;0,0874;Unidade de Produção Terrestre - Tartaruga;UEP;320
Bahia;Recôncavo;7-C-170-BA;7C   0170  BA       ;CANDEIAS;Petrobras;480000036389734;2014/04;20,2329;0,0000;20,2329;1,5331;0,0000;1,5331;18,82979;0,0241;PETROBRAS 57;UEP;0
Bahia;Recôncavo;7-C-173D-BA;7C   0173D BA       ;CANDEIAS;Petrobras;480000036389734;2014/04;39,0306;0,0000;39,0306;2,9652;0,0000;2,9652;36,41749;0,0690;PETROBRAS 57;UEP;0
Bahia;Recôncavo;7-C-174D-BA;7C   0174D BA       ;CANDEIAS;Petrobras;480000036389734;2014/04;10,4629;0,0000;10,4629;0,6546;0,0000;0,6546;8,04026;0,0124;PETROBRAS 57;UEP;0
Bahia;Recôncavo;7-C-185-BA;7C   0185  BA       ;CANDEIAS;Petrobras;480000036389734;2014/04;7,3838;0,0000;7,3838;0,1752;0,0000;0,1752;2,15173;0,0732;PETROBRAS 57;UEP;0
Bahia;Recôncavo;7-C-197D-BA;7C   0197D BA       ;CANDEIAS;Petrobras;480000036389734;2014/04;25,5096;0,0000;25,5096;3,5674;0,0000;3,5674;43,81432;0,0231;FPSO CAPIXABA;UEP;0
Bahia;Recôncavo;7-C-201D-BA;7C   0201D BA       ;CANDEIAS;Petrobras;480000036389734;2014/04;9,5146;0,0000;9,5146;9,4766;0,0000;9,4766;116,38898;0,0444;PETROBRAS 57;UEP;0
Bahia;Recôncavo;7-C-202D-BA;7C   0202D BA       ;CANDEIAS;Petrobras;480000036389734;2014/04;18,0142;0,0000;18,0142;6,5047;0,0000;6,5047;79,88942;0,1424;PETROBRAS 57;UEP;0
Bahia;Recôncavo;7-C-211D-BA;7C   0211D BA       ;CANDEIAS;Petrobras;480000036389734;2014/04;5,3642;0,0000;5,3642;0,6760;0,0000;0,6760;8,30286;0,0000;PETROBRAS 57;UEP;0
Bahia;Recôncavo;8-DJM-881H-BAS;8DJM881HBAS         ;DOM JOÃO MAR;Petrobras;480000036459708;2014/04;89,9705;0,0000;89,9705;0,1144;0,0000;0,1144;3,43286;141,2268;PETROBRAS 57;UEP;0
Bahia;Recôncavo;7-DJM-854H-BAS;7DJM854HBAS         ;DOM JOÃO MAR;Petrobras;480000036459708;2014/04;58,3529;0,0000;58,3529;0,0742;0,0000;0,0742;2,22643;120,1561;PETROBRAS 57;UEP;0
Bahia;Recôncavo;7-DJM-856H-BAS;7DJM856HBAS         ;DOM JOÃO MAR;Petrobras;480000036459708;2014/04;78,6843;0,0000;78,6843;0,1001;0,0000;0,1001;3,00224;407,6292;FPSO CAPIXABA;UEP;0
Bahia;Camamu;7-MNT-1-BAS;7MNT1BAS            ;MANATI;Petrobras;480000035189782;2014/04;0,0000;76,7671;76,7671;0,0000;1.371,3317;1.371,3317;41.122,68318;18,9728;PETROBRAS 57;UEP;0
Bahia;Camamu;7-MNT-2-BAS;7MNT2BAS            ;MANATI;Petrobras;480000035189782;2014/04;0,0000;99,2570;99,2570;0,0000;974,1308;974,1308;29.211,65945;13,4761;PETROBRAS 57;UEP;0
Bahia;Camamu;7-MNT-3-BAS;7MNT3BAS            ;MANATI;Petrobras;480000035189782;2014/04;0,0000;69,3751;69,3751;0,0000;645,1407;645,1407;19.346,09885;8,9244;PETROBRAS 57;UEP;0
Bahia;Camamu;7-MNT-4-BAS;7MNT4BAS            ;MANATI;Petrobras;480000035189782;2014/04;0,0000;93,1229;93,1229;0,0000;905,9200;905,9200;27.166,19431;11,3929;PETROBRAS 57;UEP;0
Bahia;Camamu;7-MNT-5D-BAS;7MNT5DBAS           ;MANATI;Petrobras;480000035189782;2014/04;0,0000;98,5049;98,5049;0,0000;887,1191;887,1191;26.602,40304;12,2725;PETROBRAS 57;UEP;0
Bahia;Camamu;7-MNT-6D-BAS;7MNT6DBAS           ;MANATI;Petrobras;480000035189782;2014/04;0,0000;117,9216;117,9216;0,0000;1.132,3606;1.132,3606;33.956,56013;15,6660;FPSO CIDADE DE ANCHIETA;UEP;0
Ceará;Ceará;7-CES-84D-CE;7CES 0084D CE       ;ATUM;Petrobras;480000037759713;2014/04;45,5166;0,0000;45,5166;0,4343;0,0000;0,4343;12,39770;32,0237;PLATAFORMA DE MERLUZA;UEP;0
