ANP - Agência Nacional do Petroleo, Gás Natural e Biocombustíveis;;;;;;;;;;;;;;;;;;
SIGEP Produção - Versão 9.19, build 38 (Oracle 11g);;;;;;;;;;;;;;;;;;
BMP - Produção de Petróleo, Gás Natural e Água (Poço) por Campo;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês)
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;
Alagoas;Alagoas;4-ALS-39-AL;4ALS 0039  AL       ;PARU;Petrobras;480000038409775;2015/03;0,0000;290,5486;290,5486;0,0000;204,3031;204,3031;6.333,39600;0,0000;Estação de Paru;INSTALACAO EMB/DESEMB;0
Bahia;Recôncavo;7-C-137-BA;7C   0137  BA       ;CANDEIAS;Petrobras;480000036389734;2015/03;14,1488;0,0000;14,1488;5,6467;0,0000;5,6467;0,00000;0,0562;Estação Pedra Branca;INSTALACAO EMB/DESEMB;0
Bahia;Recôncavo;7-C-170-BA;7C   0170  BA       ;CANDEIAS;Petrobras;480000036389734;2015/03;26,1962;0,0000;26,1962;3,9553;0,0000;3,9553;0,00000;1,0883;Estação Pedra Branca;INSTALACAO EMB/DESEMB;0
Bahia;Recôncavo;7-C-173D-BA;7C   0173D BA       ;CANDEIAS;Petrobras;480000036389734;2015/03;26,1962;0,0000;26,1962;3,9553;0,0000;3,9553;0,00000;0,0497;Estação Pedra Branca;INSTALACAO EMB/DESEMB;0
Bahia;Recôncavo;7-C-174D-BA;7C   0174D BA       ;CANDEIAS;Petrobras;480000036389734;2015/03;7,8590;0,0000;7,8590;0,9888;0,0000;0,9888;0,00000;0,0122;Estação Pedra Branca;INSTALACAO EMB/DESEMB;0
Bahia;Recôncavo;7-C-185-BA;7C   0185  BA       ;CANDEIAS;Petrobras;480000036389734;2015/03;4,5171;0,0000;4,5171;0,2266;0,0000;0,2266;0,00000;0,0162;Estação Pedra Branca;INSTALACAO EMB/DESEMB;0
Bahia;Recôncavo;7-C-197D-BA;7C   0197D BA       ;CANDEIAS;Petrobras;480000036389734;2015/03;24,2316;0,0000;24,2316;6,7442;0,0000;6,7442;0,00000;0,0211;Estação Pedra Branca;INSTALACAO EMB/DESEMB;0
Bahia;Recôncavo;7-C-201D-BA;7C   0201D BA       ;CANDEIAS;Petrobras;480000036389734;2015/03;2,1724;0,0000;2,1724;2,6143;0,0000;2,6143;0,00000;0,0286;Estação Pedra Branca;INSTALACAO EMB/DESEMB;0
Bahia;Recôncavo;7-C-202D-BA;7C   0202D BA       ;CANDEIAS;Petrobras;480000036389734;2015/03;18,3374;0,0000;18,3374;12,8654;0,0000;12,8654;0,00000;0,0154;Estação Pedra Branca;INSTALACAO EMB/DESEMB;0
Bahia;Recôncavo;7-C-203D-BA;7C   0203D BA       ;CANDEIAS;Petrobras;480000036389734;2015/03;2,6200;0,0000;2,6200;0,4355;0,0000;0,4355;0,00000;0,0130;Estação Pedra Branca;INSTALACAO EMB/DESEMB;0
Bahia;Recôncavo;7-C-211D-BA;7C   0211D BA       ;CANDEIAS;Petrobras;480000036389734;2015/03;9,0518;0,0000;9,0518;2,2968;0,0000;2,2968;0,00000;0,2770;Estação Pedra Branca;INSTALACAO EMB/DESEMB;0
Bahia;Recôncavo;7-C-212D-BA;7C   0212D BA       ;CANDEIAS;Petrobras;480000036389734;2015/03;8,8504;0,0000;8,8504;1,7959;0,0000;1,7959;0,00000;0,1047;Estação Pedra Branca;INSTALACAO EMB/DESEMB;0
Bahia;Recôncavo;7-DJM-856H-BAS;7DJM856HBAS         ;DOM JOÃO MAR;Petrobras;480000036459708;2015/03;44,3811;0,0000;44,3811;0,0564;0,0000;0,0564;1,74976;549,5224;Estação Marapé (Dom João Mar);INSTALACAO EMB/DESEMB;0
Bahia;Camamu;7-MNT-1-BAS;7MNT1BAS            ;MANATI;Petrobras;480000035189782;2015/03;0,0000;73,2558;73,2558;0,0000;790,1650;790,1650;24.483,81143;10,9311;PLATAFORMA DE MANATI 1;UEP;0
Bahia;Camamu;7-MNT-2-BAS;7MNT2BAS            ;MANATI;Petrobras;480000035189782;2015/03;0,0000;95,1865;95,1865;0,0000;1.026,7172;1.026,7172;31.813,54719;14,2042;PLATAFORMA DE MANATI 1;UEP;0
Bahia;Camamu;7-MNT-3-BAS;7MNT3BAS            ;MANATI;Petrobras;480000035189782;2015/03;0,0000;65,7813;65,7813;0,0000;709,5383;709,5383;21.985,53808;9,8147;PLATAFORMA DE MANATI 1;UEP;0
Bahia;Camamu;7-MNT-4-BAS;7MNT4BAS            ;MANATI;Petrobras;480000035189782;2015/03;0,0000;86,4011;86,4011;0,0000;931,9588;931,9588;28.877,39247;11,7208;PLATAFORMA DE MANATI 1;UEP;0
Bahia;Camamu;7-MNT-5D-BAS;7MNT5DBAS           ;MANATI;Petrobras;480000035189782;2015/03;0,0000;94,1698;94,1698;0,0000;1.016,0392;1.016,0392;31.482,68243;14,0565;PLATAFORMA DE MANATI 1;UEP;0
Bahia;Camamu;7-MNT-6D-BAS;7MNT6DBAS           ;MANATI;Petrobras;480000035189782;2015/03;0,0000;110,7719;110,7719;0,0000;1.191,8935;1.191,8935;36.931,64863;16,4901;PLATAFORMA DE MANATI 1;UEP;0
Ceará;Ceará;7-CES-84D-CE;7CES 0084D CE       ;ATUM;Petrobras;480000037759713;2015/03;294,2893;0,0000;294,2893;2,0385;0,0000;2,0385;59,59914;147,6407;PLATAFORMA DE ATUM 1;UEP;0
Ceará;Ceará;7-AT-2D-CES;7AT  0002D CES      ;ATUM;Petrobras;480000037759713;2015/03;69,4241;0,0000;69,4241;0,4683;0,0000;0,4683;13,69034;170,4932;PLATAFORMA DE ATUM 1;UEP;0
Ceará;Ceará;7-AT-4D-CES;7AT  0004D CES      ;ATUM;Petrobras;480000037759713;2015/03;414,2118;0,0000;414,2118;3,2549;0,0000;3,2549;95,16365;257,3691;PLATAFORMA DE ATUM 2;UEP;0
Ceará;Ceará;7-AT-6D-CES;7AT  0006D CES      ;ATUM;Petrobras;480000037759713;2015/03;7,9706;0,0000;7,9706;0,0724;0,0000;0,0724;2,11694;151,4402;PLATAFORMA DE ATUM 2;UEP;0
Ceará;Ceará;7-AT-7D-CES;7AT  0007D CES      ;ATUM;Petrobras;480000037759713;2015/03;391,6866;0,0000;391,6866;7,8084;0,0000;7,8084;228,29653;158,5598;PLATAFORMA DE ATUM 2;UEP;0
Ceará;Ceará;7-AT-21DP-CES;7AT21DPCES          ;ATUM;Petrobras;480000037759713;2015/03;45,6742;0,0000;45,6742;0,6824;0,0000;0,6824;19,94997;18,3835;PLATAFORMA DE ATUM 2;UEP;0
Ceará;Ceará;7-AT-22DP-CES;7AT22DPCES          ;ATUM;Petrobras;480000037759713;2015/03;159,1673;0,0000;159,1673;1,4090;0,0000;1,4090;41,19511;126,3738;PLATAFORMA DE ATUM 2;UEP;0
