ANP - Agência Nacional do Petroleo, Gás Natural e Biocombustíveis;;;;Data: 17/09/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SIGEP Produção - Versão 9.19, build 17 (Oracle 11g);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMP - Produção de Petróleo, Gás Natural e Água (Poço) por Campo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados;;;;;;% em Volumes;;;;;;;;;;;;;;;;Densidade GLP Gás;Densidade GLP Líquido;"PCS GP
(kJ/m³)"
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;;;;;Leves;;Médios;;Pesados;;Metano;Etano;Propano;Iso-Butano;Butano;Iso-Pentano;n-Pentano;Hexanos;Heptanos;Octanos;Nonanos;Decanos;Undecanos;Oxigênio;Nitrogênio;Gás Carbônico;;;
;;;;;;;;;;;;;;;;;;;;;;Corte;Volume;Corte;Volume;Corte;Volume;;;;;;;;;;;;;;;;;;;
Estado;Bacia;ANP;Operador;Site_Mar_Jun_Campo;Operadora;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Associado;Não Associado;Gás Total;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;FrDestLEvC;FrDestLEvV;FrDestMedC;FrDestMedV;FrDestPesC;FrDestPesV;Metano;Etano;Propano;Iso-Butano;Butano;Iso-Pentano;n-Pentano;Hexanos;Heptanos;Octanos;Nonanos;Decanos;Undecanos;Oxigênio;Nitrogênio;Gás Carbônico;Densidade GLP Gás;Densidade GLP Líquido;PCS GP
Rio de Janeiro;Santos;1-BRSA-1116-RJS;1RJS704;ITAPU;Petrobras;48610012913201000;2020/06;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;02/2020;Área de Florim;29,3;< 270ºC;34,45%;270ºC a 458ºC;28,01%;> 458ºC;37,54%;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;1-BRSA-1146-RJS;1RJS711;ATAPU;Petrobras;48610012913201000;2020/06;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;06/2020;ATAPU;27,7;< 270ºC;30,30%;270ºC a 458ºC;26,60%;> 458ºC;43,10%;59,06;7,58;3,79;0,43;0,92;0,16;0,22;0,14;0,09;0,04;0,01;0;0;0;0,5;27,06;1,98957;526,792301;29009,0222
Rio de Janeiro;Campos;1-BRSA-319-RJS;1RJS620;VIOLA;Petrobras;480000037349728;2020/06;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;02/2020;Cabiúnas Mistura;25;< 290ºC;32,30%;290ºC a 380ºC;14,20%;> 380ºC;53,50%;81,27;8,18;5,33;0,93;1,63;0,24;0,32;0,13;0,07;0,03;0,01;0;0;0;0,66;1,2;2,025574;531,12293;39542,4899
São Paulo;Santos;1-BRSA-594-SPS;1SPS55;SAPINHOÁ;Petrobras;486100038842000;2020/06;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;11/2018;Sapinhoá;30,1;< 270ºC;34,10%;270ºC a 458ºC;27,91%;> 458ºC;37,99%;70,40757;11,4576;9,16978;1,31006;2,28984;0,37572;0,39816;0,07168;0,01421;0,0054;0,0015;0;0;0;1,05059;3,44789;2,000271;528,090035;39620,2435
São Paulo;Santos;1-BRSA-607-SPS;1SPS56;BAÚNA;Petrobras;486100094942003;2020/06;1.935,3410;0,0000;1.935,3410;12,3480;0,0000;12,3480;340,55424;3.039,8283;FPSO CIDADE DE ITAJAÍ;UEP;707;07/2015;Baúna;33,3;< 270ºC;38,68%;270ºC a 458ºC;31,02%;> 458ºC;30,30%;70,26;6,58;11,12;3,02;4,61;1,12;1,15;0,17;0,03;0;0;0;0;0;1,64;0,3;2,074121;536,948648;39300,8661
Rio de Janeiro;Santos;1-BRSA-976-RJS;1RJS691A;SÉPIA;Petrobras;48610012913201000;2020/06;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;02/2020;Área de Nordeste de Tupi;26,2;< 290ºC;32,07%;290ºC a 380ºC;12,18%;> 380ºC;55,75%;54,89914;8,73416;5,5776;0,93164;2,0153;0,52207;0,71;0,51707;0,43431;0,3106;0,0667;0;0;0;0,60417;24,67724;2,03995;532,809662;29851,5187
Espírito Santo;Espírito Santo;1-ESS-77-ESS;1ESS 0077  ES;PEROÁ;Petrobras;480000039039793;2020/06;0,0000;109,2890;109,2890;0,0000;302,6439;302,6439;9.079,31782;23,0924;PEROA;UEP;712;07/2015;Peroa;53,1;< 210ºC;78,30%;210ºC a 500ºC;21,70%;> 500ºC;0,00%;92,26;2,26;1,04;0,3;0,39;0,17;0,13;0,05;0,1;0,02;0,13;0;0;0;1,96;1,2;2,071412;536,579757;37158,5862
