Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados;;;;;;% em Volumes;;;;;;;;;;;;;;;;Densidade GLP Gás;Densidade GLP Líquido;"PCS GP
(kJ/m³)";Data de atualização
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;;;;;Leves;;Médios;;Pesados;;Metano;Etano;Propano;Iso-Butano;Butano;Iso-Pentano;n-Pentano;Hexanos;Heptanos;Octanos;Nonanos;Decanos;Undecanos;Oxigênio;Nitrogênio;Gás Carbônico;;;;
;;;;;;;;;;;;;;;;;;;;;;Corte;Volume;Corte;Volume;Corte;Volume;;;;;;;;;;;;;;;;;;;;
Sergipe;Sergipe;7-TTG-1DP-SES;7TTG1DPSES;TARTARUGA;Maha Energy;480000038359735;2020/09;150,3091;0,0000;150,3091;2,3723;0,0000;2,3723;70,88577;7,6774;Ponto de Coleta de Tartaruga;INSTALACAO EMB/DESEMB;660;2015/07;Tartaruga;40,9;< 210ºC;30.4%;210ºC a 500ºC;53.4%;> 500ºC;16.2%;54,54;19,58;14,52;1,93;4,08;0,95;1,02;0,64;0,02;0,11;0,07;0;0,02;0;1,05;1,47;2,00734;528,92452;43901,8531;23/12/2020 15:39
Sergipe;Sergipe;7-TTG-2HPA-SES;7TTG2HPASES;TARTARUGA;Maha Energy;480000038359735;2020/09;370,7995;0,0000;370,7995;6,0353;0,0000;6,0353;180,33522;331,4024;Ponto de Coleta de Tartaruga;INSTALACAO EMB/DESEMB;664;2015/07;Tartaruga;40,9;< 210ºC;30.4%;210ºC a 500ºC;53.4%;> 500ºC;16.2%;54,54;19,58;14,52;1,93;4,08;0,95;1,02;0,64;0,02;0,11;0,07;0;0,02;0;1,05;1,47;2,00734;528,92452;43901,8531;23/12/2020 15:39
Rio de Janeiro;Campos;7-BJ-18HPA-RJS;7BJVx;BIJUPIRÁ;Shell Brasil;480000037099781;2020/09;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;FPSO Fluminense;UEP;0;2020/02;Bijupirá;26,8;< 290ºC;36.39%;290ºC a 380ºC;15.53%;> 380ºC;48.08%;68,6359;13,923;10,3941;2,4953;1,2639;0,5782;0,4598;0,2888;0,0453;0,0236;0,0081;0;0;0;1,1232;0,7608;1,99101;526,97127;41669,9672;23/12/2020 15:39
Rio de Janeiro;Campos;7-BJ-9H-RJS;7BJW;BIJUPIRÁ;Shell Brasil;480000037099781;2020/09;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;FPSO Fluminense;UEP;0;2020/02;Bijupirá;26,8;< 290ºC;36.39%;290ºC a 380ºC;15.53%;> 380ºC;48.08%;68,6359;13,923;10,3941;2,4953;1,2639;0,5782;0,4598;0,2888;0,0453;0,0236;0,0081;0;0;0;1,1232;0,7608;1,99101;526,97127;41669,9672;23/12/2020 15:39
Rio de Janeiro;Campos;7-BJ-8HA-RJS;7BJQ2;BIJUPIRÁ;Shell Brasil;480000037099781;2020/09;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;FPSO Fluminense;UEP;0;2020/02;Bijupirá;26,8;< 290ºC;36.39%;290ºC a 380ºC;15.53%;> 380ºC;48.08%;68,6359;13,923;10,3941;2,4953;1,2639;0,5782;0,4598;0,2888;0,0453;0,0236;0,0081;0;0;0;1,1232;0,7608;1,99101;526,97127;41669,9672;23/12/2020 15:39
Rio de Janeiro;Campos;7-BJ-11HP-RJS;7BJT;BIJUPIRÁ;Shell Brasil;480000037099781;2020/09;1.137,7993;0,0000;1.137,7993;15,0645;0,0000;15,0645;444,07490;4.728,9046;FPSO Fluminense;UEP;668;2020/02;Bijupirá;26,8;< 290ºC;36.39%;290ºC a 380ºC;15.53%;> 380ºC;48.08%;68,6359;13,923;10,3941;2,4953;1,2639;0,5782;0,4598;0,2888;0,0453;0,0236;0,0081;0;0;0;1,1232;0,7608;1,99101;526,97127;41669,9672;23/12/2020 15:39
Rio de Janeiro;Campos;7-BJ-7HPA-RJS;7BJUX;BIJUPIRÁ;Shell Brasil;480000037099781;2020/09;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;FPSO Fluminense;UEP;0;2020/02;Bijupirá;26,8;< 290ºC;36.39%;290ºC a 380ºC;15.53%;> 380ºC;48.08%;68,6359;13,923;10,3941;2,4953;1,2639;0,5782;0,4598;0,2888;0,0453;0,0236;0,0081;0;0;0;1,1232;0,7608;1,99101;526,97127;41669,9672;23/12/2020 15:39
Rio de Janeiro;Campos;7-BJ-16H-RJS;7BJS;BIJUPIRÁ;Shell Brasil;480000037099781;2020/09;27,3955;0,0000;27,3955;0,3830;0,0000;0,3830;11,28968;282,7119;FPSO Fluminense;UEP;43;2020/02;Bijupirá;26,8;< 290ºC;36.39%;290ºC a 380ºC;15.53%;> 380ºC;48.08%;68,6359;13,923;10,3941;2,4953;1,2639;0,5782;0,4598;0,2888;0,0453;0,0236;0,0081;0;0;0;1,1232;0,7608;1,99101;526,97127;41669,9672;23/12/2020 15:39
