ANP - Agência Nacional do Petroleo, Gás Natural e Biocombustíveis;;;;Data: 08/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SIGEP Produção - Versão 9.20, build 45 (Oracle 11g);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMP - Produção de Petróleo, Gás Natural e Água (Poço) por Campo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados;;;;;;% em Volumes;;;;;;;;;;;;;;;;Densidade GLP Gás;Densidade GLP Líquido;"PCS GP
(kJ/m³)"
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;;;;;Leves;;Médios;;Pesados;;Metano;Etano;Propano;Iso-Butano;Butano;Iso-Pentano;n-Pentano;Hexanos;Heptanos;Octanos;Nonanos;Decanos;Undecanos;Oxigênio;Nitrogênio;Gás Carbônico;;;
;;;;;;;;;;;;;;;;;;;;;;Corte;Volume;Corte;Volume;Corte;Volume;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;1-BRSA-1116-RJS     ;1RJS704             ;ITAPU;Petrobras;48610012913201000;2020/04;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;202002;Área de Florim;29,3;< 270ºC;34,45%;270ºC a 458ºC;28,01%;> 458ºC;37,54%;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;1-BRSA-1146-RJS     ;1RJS711             ;ATAPU;Petrobras;48610012913201000;2020/04;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;;;;;;;;;;52,075;8,12;5,067;0,817;1,731;0,448;0,597;0,384;0,237;0,109;0,02;0;0;0;0,451;29,945;2,032831;531,967518;27671,2836
São Paulo;Santos;1-BRSA-594-SPS      ;1SPS55              ;SAPINHOÁ;Petrobras;486100038842000;2020/04;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;201811;Sapinhoá;30,1;< 270ºC;34,10%;270ºC a 458ºC;27,91%;> 458ºC;37,99%;70,40757;11,4576;9,16978;1,31006;2,28984;0,37572;0,39816;0,07168;0,01421;0,0054;0,0015;0;0;0;1,05059;3,44789;2,000271;528,090035;39620,2435
Rio de Janeiro;Santos;1-BRSA-976-RJS      ;1RJS691A            ;SÉPIA;Petrobras;48610012913201000;2020/04;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;202002;Área de Nordeste de Tupi;26,2;< 290ºC;32,07%;290ºC a 380ºC;12,18%;> 380ºC;55,75%;54,89914;8,73416;5,5776;0,93164;2,0153;0,52207;0,71;0,51707;0,43431;0,3106;0,0667;0;0;0;0,60417;24,67724;2,03995;532,809662;29851,5187
Rio de Janeiro;Campos;3-BRSA-1017D-RJS    ;3MLL69DRJS          ;MARLIM LESTE;Petrobras;480000039009703;2020/04;826,0831;0,0000;826,0831;26,4176;0,0000;26,4176;663,94648;981,5389;PETROBRAS 53;UEP;559;201507;Marlim Leste;24,7;< 290ºC;32,18%;290ºC a 380ºC;14,20%;> 380ºC;53,62%;76,67;9,19;7,11;1,11;2,31;0,42;0,47;0,21;0,1;0,05;0,02;0,02;0;0,01;1,07;1,24;2,025973;531,166518;39757,4265
Rio de Janeiro;Santos;3-BRSA-1053-RJS     ;3RJS699             ;BÚZIOS;Petrobras;48610012913201000;2020/04;26.559,9182;0,0000;26.559,9182;1.024,2925;0,0000;1.024,2925;3.291,02775;0,0000;Petrobras 75 (P-75);UEP;710;202002;Búzios;28,4;< 270ºC;31,07%;270ºC a 458ºC;30,08%;> 458ºC;38,85%;58,48;8,59;5,38;0,86;1,81;0,38;0,52;0,26;0,13;0,05;0,07;0,02;0;0,06;0,64;22,75;2,030551;531,705305;30704,715
Rio de Janeiro;Santos;3-BRSA-1053-RJS     ;3RJS699             ;TAMBUATÁ;Petrobras;48610012913201000;2020/04;171,4281;0,0000;171,4281;6,6112;0,0000;6,6112;21,24153;0,0000;Petrobras 75 (P-75);UEP;710;202002;Búzios;28,4;< 270ºC;31,07%;270ºC a 458ºC;30,08%;> 458ºC;38,85%;58,48;8,59;5,38;0,86;1,81;0,38;0,52;0,26;0,13;0,05;0,07;0,02;0;0,06;0,64;22,75;2,030551;531,705305;30704,715
Rio de Janeiro;Santos;3-BRSA-1064-RJS     ;3RJS700             ;BÚZIOS;Petrobras;48610012913201000;2020/04;24.948,6561;0,0000;24.948,6561;1.115,0955;0,0000;1.115,0955;3.582,77580;0,0000;Petrobras 76;UEP;693;202002;Búzios;28,4;< 270ºC;31,07%;270ºC a 458ºC;30,08%;> 458ºC;38,85%;58,48;8,59;5,38;0,86;1,81;0,38;0,52;0,26;0,13;0,05;0,07;0,02;0;0,06;0,64;22,75;2,030551;531,705305;30704,715
