ANP - Agência Nacional do Petroleo, Gás Natural e Biocombustíveis;;;;Data: 29/03/2019;;;;;;;;;;;;;;
SIGEP Produção - Versão 9.19, build 38 (Oracle 11g);;;;;;;;;;;;;;;;;;
BMP - Produção de Petróleo, Gás Natural e Água (Poço) por Campo;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês)
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;
Bahia;Recôncavo;7-C-10-BA;7C   0010  BA       ;CANDEIAS;Petrobras;480000036389734;2013/01;3,8869;0,0000;3,8869;0,1416;0,0000;0,1416;0,00000;0,0000;PETROBRAS 43;UEP;0
Bahia;Recôncavo;7-A-6-BA;7A   0006  BA       ;ARATU;Petrobras;480000036329758;2013/01;0,0000;0,0000;0,0000;0,0000;2,1246;2,1246;65,86333;0,0000;PETROBRAS 43;UEP;0
Bahia;Recôncavo;3-A-9-BA;3A   0009  BA       ;ARATU;Petrobras;480000036329758;2013/01;0,0000;0,0000;0,0000;0,0000;2,2856;2,2856;70,85234;0,0000;PETROBRAS 43;UEP;0
Bahia;Recôncavo;7-A-11-BA;7A   0011  BA       ;ARATU;Petrobras;480000036329758;2013/01;0,0000;0,0000;0,0000;0,0000;3,2291;3,2291;100,10128;0,0000;PETROBRAS 43;UEP;0
Bahia;Recôncavo;7-C-25-BA;7C   0025  BA       ;CANDEIAS;Petrobras;480000036389734;2013/01;4,4400;0,0000;4,4400;1,7043;0,0000;1,7043;0,00000;0,0047;PETROBRAS 43;UEP;0
Bahia;Recôncavo;7-C-40-BA;7C   0040  BA       ;CANDEIAS;Petrobras;480000036389734;2013/01;7,7068;0,0000;7,7068;0,6267;0,0000;0,6267;0,00000;0,0199;PETROBRAS 43;UEP;0
Bahia;Recôncavo;7-C-42-BA;7C   0042  BA       ;CANDEIAS;Petrobras;480000036389734;2013/01;3,9472;0,0000;3,9472;1,0682;0,0000;1,0682;0,00000;0,0002;PETROBRAS 43;UEP;0
Bahia;Recôncavo;7-C-41-BA;7C   0041  BA       ;CANDEIAS;Petrobras;480000036389734;2013/01;5,9205;0,0000;5,9205;0,2887;0,0000;0,2887;0,00000;0,0000;PETROBRAS 43;UEP;0
Bahia;Recôncavo;7-C-18-BA;7C   0018  BA       ;CANDEIAS;Petrobras;480000036389734;2013/01;1,9734;0,0000;1,9734;0,0181;0,0000;0,0181;0,00000;0,0000;PETROBRAS 43;UEP;0
Bahia;Recôncavo;7-C-50-BA;7C   0050  BA       ;CANDEIAS;Petrobras;480000036389734;2013/01;3,2113;0,0000;3,2113;0,0386;0,0000;0,0386;0,00000;0,0000;PETROBRAS 43;UEP;0
Bahia;Recôncavo;7-C-76-BA;7C   0076  BA       ;CANDEIAS;Petrobras;480000036389734;2013/01;2,7635;0,0000;2,7635;0,0230;0,0000;0,0230;0,00000;0,0008;PETROBRAS 43;UEP;0
Bahia;Recôncavo;7-C-74-BA;7C   0074  BA       ;CANDEIAS;Petrobras;480000036389734;2013/01;6,5783;0,0000;6,5783;2,6465;0,0000;2,6465;0,00000;0,0166;PETROBRAS 43;UEP;0
