ANP - Agência Nacional do Petroleo, Gás Natural e Biocombustíveis;;;;;;;;;;;;;;;;;;
SIGEP Produção - Versão 9.19, build 38 (Oracle 11g);;;;;;;;;;;;;;;;;;
BMP - Produção de Petróleo, Gás Natural e Água (Poço) por Campo;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês)
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;
Espírito Santo;Espírito Santo;1-BRSA-42-ES;1QUA1ES             ;CREJOÁ;Central Resources;48610007484200600;2015/05;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Ponto de Coleta de Crejoá 01 (BRSA-42);INSTALACAO EMB/DESEMB;0
Espírito Santo;Espírito Santo;1-BRSA-45-ES;1MOE1ES             ;CREJOÁ;Central Resources;48610007484200600;2015/05;0,0020;0,0000;0,0020;0,0003;0,0000;0,0003;0,01000;0,0020;Ponto de Coleta de Crejoá 02 (BRSA-45);INSTALACAO EMB/DESEMB;0
Espírito Santo;Espírito Santo;4-COG-3-ES;4COG 0003  ES       ;GARÇA BRANCA;Petrol;48610007064201700;2015/05;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Ponto de Coleta de Garça Branca (COG-03);INSTALACAO EMB/DESEMB;0
Rio Grande do Norte;Potiguar;1-KOCH-2D-RN;1KOCH2DRN           ;CARCARÁ;Central Resources;48610009127200500;2015/05;0,0568;0,0000;0,0568;0,0003;0,0000;0,0003;0,01000;0,0020;Ponto de Coleta de Carcará (1KOCH02DRN);INSTALACAO EMB/DESEMB;741
Rio Grande do Norte;Potiguar;7-PQO-1-RN;7PQO1RN             ;PERIQUITO;Phoenix;486100080052004;2015/05;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Estação Coletora de Periquito (POT-T-790);INSTALACAO EMB/DESEMB;0
Rio Grande do Norte;Potiguar;4-ALC-2-RN;4ALC 0002  RN       ;PERIQUITO;Phoenix;486100080052004;2015/05;2,2004;0,0000;2,2004;0,2471;0,0000;0,2471;7,65857;5,8357;Estação Coletora de Periquito (POT-T-790);INSTALACAO EMB/DESEMB;732
Rio Grande do Norte;Potiguar;1-BRSA-12-RN;1ALC4RN             ;PERIQUITO;Phoenix;486100080052004;2015/05;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Estação Coletora de Periquito (POT-T-790);INSTALACAO EMB/DESEMB;0
Rio Grande do Norte;Potiguar;3-AURI-23-RN;3AURI23RN           ;PERIQUITO;Phoenix;486100080052004;2015/05;2,7706;0,0000;2,7706;0,0120;0,0000;0,0120;0,37234;0,7146;Estação Coletora de Periquito (POT-T-790);INSTALACAO EMB/DESEMB;732
Rio Grande do Norte;Potiguar;7-PQO-2-RN;PQO-2               ;PERIQUITO;Phoenix;486100080052004;2015/05;13,1157;0,0000;13,1157;0,6355;0,0000;0,6355;19,70029;59,4831;Estação Coletora de Periquito (POT-T-790);INSTALACAO EMB/DESEMB;732
Rio Grande do Norte;Potiguar;7-PQO-3-RN;PQO-3               ;PERIQUITO;Phoenix;486100080052004;2015/05;2,0355;0,0000;2,0355;0,0224;0,0000;0,0224;0,69492;4,5985;Estação Coletora de Periquito (POT-T-790);INSTALACAO EMB/DESEMB;732
Bahia;Recôncavo;3-GTE-3D-BA;3GTE3               ;TIÊ;Maha Energy;48610001427200839A            ;2015/05;105,1632;0,0000;105,1632;1,9750;0,0000;1,9750;61,22500;6,5223;Ponto de Coleta do PA-1ALV2BA-REC-T-155;INSTALACAO EMB/DESEMB;173
Bahia;Recôncavo;3-GTE-4DPA-BA;3GTE4A              ;TIÊ;Maha Energy;48610001427200839A            ;2015/05;396,6989;0,0000;396,6989;7,4501;0,0000;7,4501;230,95400;6,1938;Ponto de Coleta do PA-1ALV2BA-REC-T-155;INSTALACAO EMB/DESEMB;618
Rio Grande do Norte;Potiguar;1-POTI-7-RN;1POTI7RN            ;ROLINHA;Imetame;486100092272002;2015/05;1,1936;0,0000;1,1936;0,0019;0,0000;0,0019;0,05883;6,0394;Estação Coletora de Rolinha;INSTALACAO EMB/DESEMB;211
Rio Grande do Norte;Potiguar;7-ROL-1-RN;ROLINHA 01          ;ROLINHA;Imetame;486100092272002;2015/05;0,6448;0,0000;0,6448;0,0010;0,0000;0,0010;0,03178;0,0071;Estação Coletora de Rolinha;INSTALACAO EMB/DESEMB;286
Rio Grande do Norte;Potiguar;7-VRG-2-RN;7VRG 0002  RN       ;VARGINHA;Petrobras;4861000400298;2015/05;46,3585;0,0000;46,3585;0,2568;0,0000;0,2568;7,70004;235,5203;Estação Coletora Central de Leste de Poço Xavier;INSTALACAO EMB/DESEMB;0
Rio Grande do Norte;Potiguar;7-VRG-3-RN;7VRG 0003  RN       ;VARGINHA;Petrobras;4861000400298;2015/05;15,3794;0,0000;15,3794;0,1632;0,0000;0,1632;4,89467;65,3499;Estação Coletora Central de Leste de Poço Xavier;INSTALACAO EMB/DESEMB;0
Rio Grande do Norte;Potiguar;7-VRG-6D-RN;7VRG 0006D RN       ;VARGINHA;Petrobras;4861000400298;2015/05;0,0065;0,0000;0,0065;0,0000;0,0000;0,0000;0,00000;0,0000;Estação Coletora Central de Leste de Poço Xavier;INSTALACAO EMB/DESEMB;0
Rio Grande do Norte;Potiguar;7-REP-12-RN;7REP 0012  RN       ;BOA VISTA;Petrobras;480000038199789;2015/05;0,0187;0,0000;0,0187;0,0000;0,0000;0,0000;0,00000;1,1225;Est.Colet.A Redonda Profunda - Cpo. Red. Prof.;INSTALACAO EMB/DESEMB;0
Rio Grande do Norte;Potiguar;1-BVS-3-RN;1BVS 0003  RN       ;BOA VISTA;Petrobras;480000037889757;2015/05;6,2529;0,0000;6,2529;0,0003;0,0000;0,0003;0,00838;278,7986;Estação Coletora Central de Benfica;INSTALACAO EMB/DESEMB;0
Rio Grande do Norte;Potiguar;7-REP-16-RN;7REP 0016  RN       ;BOA VISTA;Petrobras;480000038199789;2015/05;11,4500;0,0000;11,4500;0,0018;0,0000;0,0018;0,05194;41,8479;Est.Colet.A Redonda Profunda - Cpo. Red. Prof.;INSTALACAO EMB/DESEMB;0
Rio Grande do Norte;Potiguar;7-REP-19-RN;7REP 0019  RN       ;BOA VISTA;Petrobras;480000038199789;2015/05;0,0726;0,0000;0,0726;0,0001;0,0000;0,0001;0,00152;5,3396;Est.Colet.A Redonda Profunda - Cpo. Red. Prof.;INSTALACAO EMB/DESEMB;0
Rio Grande do Norte;Potiguar;3-REP-15-RN;3REP 0015  RN       ;BOA VISTA;Petrobras;480000037889757;2015/05;7,0721;0,0000;7,0721;0,0001;0,0000;0,0001;0,00305;118,7382;Est.Colet.A Redonda Profunda - Cpo. Red. Prof.;INSTALACAO EMB/DESEMB;0
Rio Grande do Norte;Potiguar;7-REP-21-RN;7REP 0021  RN       ;BOA VISTA;Petrobras;480000038199789;2015/05;3,4093;0,0000;3,4093;0,0027;0,0000;0,0027;0,07740;189,6881;Est.Colet.A Redonda Profunda - Cpo. Red. Prof.;INSTALACAO EMB/DESEMB;0
Rio Grande do Norte;Potiguar;7-REP-27-RN;7REP 0027  RN       ;BOA VISTA;Petrobras;480000038199789;2015/05;0,7235;0,0000;0,7235;0,0005;0,0000;0,0005;0,01401;25,4706;Est.Colet.A Redonda Profunda - Cpo. Red. Prof.;INSTALACAO EMB/DESEMB;0
Rio Grande do Norte;Potiguar;7-REP-31-RN;7REP 0031  RN       ;BOA VISTA;Petrobras;480000038199789;2015/05;1,3629;0,0000;1,3629;0,0002;0,0000;0,0002;0,00604;5,3652;Est.Colet.A Redonda Profunda - Cpo. Red. Prof.;INSTALACAO EMB/DESEMB;0
Rio Grande do Norte;Potiguar;7-REP-35-RN;7REP 0035  RN       ;BOA VISTA;Petrobras;480000037889757;2015/05;1,8785;0,0000;1,8785;0,0000;0,0000;0,0000;0,00063;277,8159;Est.Colet.A Redonda Profunda - Cpo. Red. Prof.;INSTALACAO EMB/DESEMB;0
Rio Grande do Norte;Potiguar;7-REP-38-RN;7REP 0038  RN       ;BOA VISTA;Petrobras;480000038199789;2015/05;0,0174;0,0000;0,0174;0,0000;0,0000;0,0000;0,00000;0,7228;Est.Colet.A Redonda Profunda - Cpo. Red. Prof.;INSTALACAO EMB/DESEMB;0
Rio Grande do Norte;Potiguar;7-REP-44-RN;7REP 0044  RN       ;BOA VISTA;Petrobras;480000038199789;2015/05;0,1828;0,0000;0,1828;0,0000;0,0000;0,0000;0,00060;5,6481;Est.Colet.A Redonda Profunda - Cpo. Red. Prof.;INSTALACAO EMB/DESEMB;0
Rio Grande do Norte;Potiguar;7-BVS-8-RN;7BVS 0008  RN       ;BOA VISTA;Petrobras;480000037889757;2015/05;8,4562;0,0000;8,4562;0,0013;0,0000;0,0013;0,03833;317,4770;Estação Coletora Central de Benfica;INSTALACAO EMB/DESEMB;0
