ANP - Agência Nacional do Petroleo, Gás Natural e Biocombustíveis;;;;Data: 03/01/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SIGEP Produção - Versão 9.19, build 17 (Oracle 11g);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMP - Produção de Petróleo, Gás Natural e Água (Poço) por Campo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados;;;;;;% em Volumes;;;;;;;;;;;;;;;;Densidade GLP Gás;Densidade GLP Líquido;"PCS GP
(kJ/m³)"
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;;;;;Leves;;Médios;;Pesados;;Metano;Etano;Propano;Iso-Butano;Butano;Iso-Pentano;n-Pentano;Hexanos;Heptanos;Octanos;Nonanos;Decanos;Undecanos;Oxigênio;Nitrogênio;Gás Carbônico;;;
;;;;;;;;;;;;;;;;;;;;;;Corte;Volume;Corte;Volume;Corte;Volume;;;;;;;;;;;;;;;;;;;
Bahia;Recôncavo;1-ALV-2-BA;1ALV15502;TIÊ;Maha Energy;48610001427200839A;2019/11;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Ponto de Coleta do PA-1ALV2BA-REC-T-155;INSTALACAO EMB/DESEMB;0;2019/05;Tiê;38,4;< 210ºC;28,79%;210ºC a 500ºC;39,78%;> 500ºC;31,43%;72,3377;10,6073;7,3003;1,7263;3,203;0;0,6656;0,1872;0;0;0;0;0;0;3,515;0,4576;2,071279;536,61982;39535,5042
Bahia;Recôncavo;1-ALV-8D-BA;1-ALV-182-B1-BA;Mãe-da-lua;Alvopetro;48610001427200800;2019/11;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Ponto de Coleta Poço 1ALVBDBA REC-T-182;INSTALACAO EMB/DESEMB;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sergipe;Sergipe;1-AN-1-SE;1AN  0001  SE;ANGELIM;Petrobras;480000038439763;2019/11;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2017/02;Sergipano Terra;24,6;< 290ºC;26,94%;290ºC a 380ºC;14,36%;> 380ºC;58,70%;69,29;9,21;8,03;2,7;3,86;1,7;1,3;1,17;0,37;0,08;0,07;0;0;0;1,61;0,61;2,100752;540,109586;40012,5678
Sergipe;Sergipe;1-AN-3-SE;1AN  0003  SE;ANGELIM;Petrobras;480000038439763;2019/11;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2017/02;Sergipano Terra;24,6;< 290ºC;26,94%;290ºC a 380ºC;14,36%;> 380ºC;58,70%;69,29;9,21;8,03;2,7;3,86;1,7;1,3;1,17;0,37;0,08;0,07;0;0;0;1,61;0,61;2,100752;540,109586;40012,5678
Rio Grande do Norte;Potiguar;1-AP-2-RN;1AP  0002  RN;CANTO DO AMARO;Petrobras;480000037929724;2019/11;10,4184;0,0000;10,4184;0,0017;0,0000;0,0017;0,04945;576,1309;Estação Coletora Alto da Pedra B;INSTALACAO EMB/DESEMB;720;2019/09;RGN Mistura;25,5;< 290ºC;24,40%;290ºC a 380ºC;14,59%;> 380ºC;61,01%;67,76;13,642;8,396;2,067;2,706;0,95;0,682;0,568;0,309;0,141;0,046;0,024;0;0,031;2,367;0,311;2,048831;533,895513;41197,1284
Rio Grande do Norte;Potiguar;1-ARG-1-RN;1ARG 0001  RN;ALTO DO RODRIGUES;Petrobras;480000037849704;2019/11;15,9300;0,0000;15,9300;0,0127;0,0000;0,0127;0,37981;299,3912;Estação Coletora A de Alto do Rodrigues;INSTALACAO EMB/DESEMB;720;2019/09;RGN Mistura;25,5;< 290ºC;24,40%;290ºC a 380ºC;14,59%;> 380ºC;61,01%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,448635;580,830189;29910,4577
Sergipe;Sergipe;1-ARI-1-SE;1ARI 0001  SE;ARUARI;Petrobras;480000038449726;2019/11;3,6760;0,0000;3,6760;0,0029;0,0000;0,0029;0,08749;28,7130;Aruari;INSTALACAO EMB/DESEMB;720;2017/02;Sergipano Terra;24,6;< 290ºC;26,94%;290ºC a 380ºC;14,36%;> 380ºC;58,70%;46,99;18,13;15,13;4,64;6,04;2,59;1,85;1,32;0,36;0,11;0,04;0,01;0,03;0;2,53;0,23;2,079174;537,532938;43970,9285
Rio Grande do Norte;Potiguar;1-AURI-22-RN;1AURI22RN;JOÃO DE BARRO;Imetame;486100095092003;2019/11;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Estação Coletora de João de Barro (POT-T-302);INSTALACAO EMB/DESEMB;0;2015/07;Joao de Barro;42,1;< 210ºC;35,20%;210ºC a 500ºC;51,30%;> 500ºC;13,50%;64,71385;13,34316;7,39942;1,7907;2,43847;0,61871;0,73108;1,61884;0;0;0;0;0;1,28256;5,74237;0,32084;2,050027;534,029258;38989,4152
