Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados;;;;;;% em Volumes;;;;;;;;;;;;;;;;Densidade GLP Gás;Densidade GLP Líquido;"PCS GP
(kJ/m³)";Data de atualização
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;;;;;Leves;;Médios;;Pesados;;Metano;Etano;Propano;Iso-Butano;Butano;Iso-Pentano;n-Pentano;Hexanos;Heptanos;Octanos;Nonanos;Decanos;Undecanos;Oxigênio;Nitrogênio;Gás Carbônico;;;;
;;;;;;;;;;;;;;;;;;;;;;Corte;Volume;Corte;Volume;Corte;Volume;;;;;;;;;;;;;;;;;;;;
Rio Grande do Norte;Potiguar;7-ET-1638D-RN;7ET1638DRN;ESTREITO;Petrobras;480000037939797;2020/12;1,4398;0,0000;1,4398;0,0006;0,0000;0,0006;0,01827;64,2461;Estação Coletora Rio Panon A;INSTALACAO EMB/DESEMB;742;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;07/03/2021
Alagoas;Alagoas;7-TM-34-AL;7TM  0034  AL;TABULEIRO DOS MARTINS;Petrosynergy;480000038649733;2020/12;2,5493;0,0000;2,5493;0,0519;0,0000;0,0519;0,88937;5,9484;Estação Coletora de Tabuleiro dos Martins;INSTALACAO EMB/DESEMB;742;2015/07;Tabuleiro;26,2;< 290ºC;27.8%;290ºC a 380ºC;13.4%;> 380ºC;58.8%;85,99;4,48;5,12;0,98;1,38;0,3;0,22;0,12;0;0;0;0;0;0;1,06;0,35;2,02017;530,47671;38572,2572;07/03/2021
Alagoas;Alagoas;7-TM-36-AL;7TM  0036  AL;TABULEIRO DOS MARTINS;Petrosynergy;480000038649733;2020/12;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;51,4311;Estação Coletora de Tabuleiro dos Martins;INSTALACAO EMB/DESEMB;744;2015/07;Tabuleiro;26,2;< 290ºC;27.8%;290ºC a 380ºC;13.4%;> 380ºC;58.8%;85,99;4,48;5,12;0,98;1,38;0,3;0,22;0,12;0;0;0;0;0;0;1,06;0,35;2,02017;530,47671;38572,2572;07/03/2021
Alagoas;Alagoas;7-TM-37D-AL;7TM  0037D AL;TABULEIRO DOS MARTINS;Petrosynergy;480000038649733;2020/12;0,0042;0,0000;0,0042;0,0000;0,0000;0,0000;0,00000;131,7424;Estação Coletora de Tabuleiro dos Martins;INSTALACAO EMB/DESEMB;740;2015/07;Tabuleiro;26,2;< 290ºC;27.8%;290ºC a 380ºC;13.4%;> 380ºC;58.8%;85,99;4,48;5,12;0,98;1,38;0,3;0,22;0,12;0;0;0;0;0;0;1,06;0,35;2,02017;530,47671;38572,2572;07/03/2021
Sergipe;Sergipe;1-ARI-1-SE;1ARI 0001  SE;ARUARI;Petrobras;480000038449726;2020/12;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2017/02;Sergipano Terra;24,6;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;46,99;18,13;15,13;4,64;6,04;2,59;1,85;1,32;0,36;0,11;0,04;0,01;0,03;0;2,53;0,23;2,07917;537,53294;43970,9285;07/03/2021
Alagoas;Alagoas;1-BRSA-935-AL;1BEL1AL;ARAPAÇU;Petrobras;48610001547200917;2020/12;0,0000;0,0000;0,0000;0,0000;30,1164;30,1164;933,60885;0,0000;Estação Coletora de Furado;INSTALACAO EMB/DESEMB;744;;;;< ºC;%;;%;> ºC;%;85,44;7,66;2,66;0,39;0,8;0,21;0,27;0,22;0,04;0,07;0,01;0,04;0,02;0;1,72;0,45;2,01783;530,16628;39158,4001;07/03/2021
Amazonas;Solimões;1-BRSA-769-AM;1ICB1AM;ARARA AZUL;Petrobras;48610009146200581;2020/12;0,0000;1.353,3533;1.353,3533;0,0000;307,9667;307,9667;9.546,96748;859,3978;Polo Arara;INSTALACAO EMB/DESEMB;744;2018/05;Urucu;49,2;< 210ºC;53.7%;210ºC a 500ºC;32.59%;> 500ºC;13.71%;73,94;10,72;3,08;0,38;0,9;0,19;0,25;0,2;0,04;0,02;0,01;0;0;0;10,12;0,15;2,00808;529,00848;36866,8129;07/03/2021
Amazonas;Solimões;3-BRSA-1106DA-AM;3ICB2DAAM;ARARA AZUL;Petrobras;48610009146200581;2020/12;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;;;0;2018/05;Urucu;49,2;< 210ºC;53.7%;210ºC a 500ºC;32.59%;> 500ºC;13.71%;73,94;10,72;3,08;0,38;0,9;0,19;0,25;0,2;0,04;0,02;0,01;0;0;0;10,12;0,15;2,00808;529,00848;36866,8129;07/03/2021
