Estado;Bacia;Nome Poço ANP;Nome Poço Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia) Assoc;Gás Natural (Mm³/dia) N Assoc;Gás Natural (Mm³/dia) Total;Volume Gás Royalties (m³/mês);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados|Lev|Cort;Fração de Destilados|Lev|Vol;Fração de Destilados|Méd|Corte;Fração de Destilados|Méd|Vol;Fração de Destilados|Pes|Corte;Fração de Destilados|Pes|Vol;% em Volumes Metano;% em Volumes Etano;% em Volumes Propano;% em Volumes Iso-Butano;% em Volumes Butano;% em Volumes Iso-Pentano;% em Volumes n-Pentano;% em Volumes Hexanos;% em Volumes Heptanos;% em Volumes Octanos;% em Volumes Nonanos;% em Volumes Decanos;% em Volumes Undecanos;% em Volumes Oxigênio;% em Volumes Nitrogênio;% em Volumes Gás Carbônico;Densidade GLP Gás;Densidade GLP Líquido;PCS GP(kJ/m³);Data de atualização
Rio Grande do Norte;Potiguar;7-ET-1839D-RN;7ET1839DRN;ESTREITO;3R Potiguar;480000037939797;2023/11;,6252;0;,6252;,0003;0;,0003;,008;269,7171;Estação Coletora Rio Panon A;INSTALACAO EMB/DESEMB;716;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;09/10/2025
Rio Grande do Norte;Potiguar;7-ET-1838-RN;7ET1838RN;ESTREITO;3R Potiguar;480000037939797;2023/11;1,7488;0;1,7488;,0008;0;,0008;,025;559,1444;Estação Coletora Estreito A;INSTALACAO EMB/DESEMB;714;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;09/10/2025
Rio Grande do Norte;Potiguar;7-ET-1837-RN;7ET1837RN;ESTREITO;3R Potiguar;480000037939797;2023/11;1,3823;0;1,3823;,0006;0;,0006;,018;26,7204;Estação Coletora Estreito A;INSTALACAO EMB/DESEMB;716;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;09/10/2025
Rio Grande do Norte;Potiguar;7-ET-1833D-RN;7ET1833DRN;ESTREITO;3R Potiguar;480000037939797;2023/11;14,7133;0;14,7133;,0064;0;,0064;,193;276,0434;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;720;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;09/10/2025
Rio Grande do Norte;Potiguar;7-ET-1829D-RN;7ET1829DRN;ESTREITO;3R Potiguar;480000037939797;2023/11;8,8273;0;8,8273;,0037;0;,0037;,112;63,5415;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;720;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;09/10/2025
Rio Grande do Norte;Potiguar;7-ET-1828-RN;7ET1828RN;ESTREITO;3R Potiguar;480000037939797;2023/11;,5248;0;,5248;,0002;0;,0002;,007;156,824;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;720;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;09/10/2025
Rio Grande do Norte;Potiguar;7-ET-1827D-RN;7ET1827DRN;ESTREITO;3R Potiguar;480000037939797;2023/11;4,0211;0;4,0211;,0016;0;,0016;,047;251,5364;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;666;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;09/10/2025
Rio Grande do Norte;Potiguar;7-ET-1826D-RN;7ET1826DRN;ESTREITO;3R Potiguar;480000037939797;2023/11;,6237;0;,6237;,0002;0;,0002;,007;312,0356;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;720;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;09/10/2025
Rio Grande do Norte;Potiguar;7-ET-1849-RN;7ET1849RN;ESTREITO;3R Potiguar;480000037939797;2023/11;0;0;0;0;0;0;0;0;Estação Coletora Rio Panon A;INSTALACAO EMB/DESEMB;0;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;09/10/2025
Rio Grande do Norte;Potiguar;7-ET-646-RN;7ET  0646  RN;ESTREITO;3R Potiguar;480000037939797;2023/11;,6602;0;,6602;,0002;0;,0002;,007;145,5904;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;720;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;09/10/2025
Rio Grande do Norte;Potiguar;7-ET-871-RN;7ET871RN;ESTREITO;3R Potiguar;480000037939797;2023/11;,7288;0;,7288;,0003;0;,0003;,009;222,3175;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;700;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;09/10/2025
Rio Grande do Norte;Potiguar;7-ET-65-RN;7ET  0065  RN;ESTREITO;3R Potiguar;480000037939797;2023/11;5,335;0;5,335;,0021;0;,0021;,062;530,9977;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;720;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;09/10/2025
Rio Grande do Norte;Potiguar;7-ET-957-RN;7ET957RN;ESTREITO;3R Potiguar;480000037939797;2023/11;8,3942;0;8,3942;,0038;0;,0038;,113;343,4945;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;712;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;09/10/2025
Rio Grande do Norte;Potiguar;7-ET-956-RN;7ET956RN;ESTREITO;3R Potiguar;480000037939797;2023/11;3,5313;0;3,5313;,0014;0;,0014;,041;409,8602;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;720;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;09/10/2025
Rio Grande do Norte;Potiguar;7-ET-955-RN;7ET955RN;ESTREITO;3R Potiguar;480000037939797;2023/11;5,9701;0;5,9701;,0023;0;,0023;,069;647,2414;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;720;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;09/10/2025
Rio Grande do Norte;Potiguar;7-ET-954-RN;7ET954RN;ESTREITO;3R Potiguar;480000037939797;2023/11;5,5059;0;5,5059;,0022;0;,0022;,065;13,8984;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;719;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;09/10/2025
Rio Grande do Norte;Potiguar;7-ET-953-RN;7ET953RN;ESTREITO;3R Potiguar;480000037939797;2023/11;1,5339;0;1,5339;,0006;0;,0006;,018;394,7378;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;707;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;09/10/2025
Rio Grande do Norte;Potiguar;7-ET-952-RN;7ET952RN;ESTREITO;3R Potiguar;480000037939797;2023/11;6,5267;0;6,5267;,0025;0;,0025;,076;21,7265;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;720;2020/11;RGN Mistura;23,2;< 290ºC;20,6%;290ºC a 380ºC;14,2%;> 380ºC;65,2%;;;;;;;;;;;;;;;;;;;;09/10/2025
